id,rol,edad,sexo,experiencia_anios,P01,P02,P03,P04,P05,P06,P07,P08,P09,P10,P11,P12,P13,IID_personal,CHR_personal,TDE_personal
P01,Conductor,32,M,4,5,5,3,5,5,5,4,4,5,4,5,3,5,96.5,94.0,97.2
P02,Conductor,45,M,12,2,3,4,4,4,2,4,3,2,4,4,5,3,87.0,82.0,85.0
P03,Conductor,38,M,8,5,2,4,4,4,5,4,5,5,4,4,4,4,95.0,91.5,94.8
P04,Conductor,29,M,3,4,4,5,4,4,5,5,5,4,3,5,5,5,98.0,95.5,97.0
P05,Conductor,51,M,18,4,3,3,3,3,3,4,3,3,3,2,3,3,82.5,78.0,82.0
P06,Administrativo,28,F,5,5,5,4,4,5,5,4,4,4,4,4,5,4,97.0,92.0,95.0
P07,Administrativo,35,F,9,3,5,4,5,4,5,4,4,4,5,3,5,4,94.5,89.5,93.0
P08,Administrativo,24,F,2,5,4,5,5,4,5,4,4,5,5,5,5,4,99.0,96.0,98.5
P09,Administrativo,41,F,15,1,4,5,3,3,3,3,4,4,4,3,4,3,84.0,80.0,83.5
P10,Administrativo,33,M,7,5,3,4,5,5,5,5,5,3,4,4,5,5,96.0,93.0,95.5
P11,Administrativo,47,F,20,2,2,4,3,3,3,3,4,4,3,3,3,2,81.0,76.5,80.0
P12,Operaciones,39,M,11,3,5,3,4,5,5,3,4,4,5,5,5,5,93.0,89.0,92.5
P13,Operaciones,30,M,6,4,5,5,5,4,5,5,5,5,4,5,4,4,97.5,94.5,96.5
P14,Operaciones,26,F,3,5,4,5,5,5,4,5,5,5,3,4,4,5,98.5,95.0,97.5
P15,Operaciones,44,M,14,4,4,4,3,2,3,1,3,4,5,3,4,3,85.5,80.5,84.0
P16,Gerencia,52,M,25,5,4,5,4,5,5,4,4,5,4,5,5,3,95.5,91.0,94.5
P17,Gerencia,48,F,18,5,3,5,5,5,4,4,5,5,4,5,4,5,96.5,92.5,95.0
P18,Gerencia,56,M,30,4,3,3,4,4,3,3,4,4,3,4,4,4,88.0,83.0,86.5
